id,value
flare.Legend.Banned book,5
flare.Bo Xilai Scandal,1
flare.Charter 08,2
flare.Query.CPC criticism,9
flare.Falun gong,7
flare.data.Gov official,23
flare.ISIS Crisis,1
flare.Visualization.Jasmine Revolution,1
flare.data.Media ,5
flare.Prurient interest,1
flare.Tiananmen Self-Immolation ,1
flare.analytics.Tiananmen Square Massacre ,96
flare.Tibet,4
flare.Tuidang,10
flare.Uyghur,7
flare.Zhou Yongkang Sentence,1
